1,1,"అడవిలో ఆంబోతై తినాలి,అత్త ఇంట్లో అల్లుడై తినాలి"
2,2,అడ్డగోడమీద పిల్లి వాటం
3,3,అడుగులోనే హంసపాదు
4,4,అదిగో పులి అంటే తోక తొంబై ఆమడ అన్నట్లు
5,5,గాడిదకు గడ్డి వేసి ఆవును పాలిమ్మన్నట్లు
6,6,గాడిద పుండుకు బూడిద మందు
7,7,ఆవు చేలో మేస్తే దూడ గట్టున మేస్తుందా
8,8,"ఆవు పాడి ఎన్నాళ్ళు,ఐశ్వర్యం ఎన్నాళ్ళు.బఱ్ఱిపాడి ఎన్నాళ్ళు, భాగ్యమెన్నాళ్ళు"
9,9,ఆవులను మళ్ళించిన వాడే అర్జునుడు
10,10,ఆవులూ ఆవులూ పోట్లాడితే లేగదూడల కాళ్ళు విరిగినట్లు
11,11,ఆవు నలుపైతే పాలు నలుపా
12,12,ఇంటి పేరు కస్తూరి వారు ఇల్లు గబ్బిలాల కంపు
13,13,ఆరు ఆవులమ్మ మూడావులమ్మ ఇంటికి నేతికి వెళ్ళిందట
14,14,ఆవలి గట్టు ఆవుకు ఈవలి గట్టు పచ్చన
15,15,"ఇంటికి ఇత్తడి చిలుక,బయటికి బంగారు చిలుక"
16,16,ఇంటి పిల్లికి పొరుగింటి పిల్లి తోడు
17,17,ఇంటిలో ఈగపులి బయట పెద్దపులి
18,18,ఇంటిలో ఈగల మోత బయట పల్లకీల మోత
19,19,ఇంటిలో పెళ్ళయితే ఊరిలో కుక్కలకు హడావిడి
20,20,ఇంటివాడు గొడ్డుగేదె అంటే పొరుగువాడు పాడిగేదె అంటాడు
21,21,ఇచ్చినమ్మ ఈగ పుచ్చుకున్నమ్మ పులి
22,22,ఇదుగో పులి అంటే అదుగో తోక అన్నట్లు
23,23,ఈఎద్దు ఆఎద్దు జోడు. ఈచేను ఆచేను బీడు
24,24,ఈగలు ఈగలే జోగులు జోగులే
25,25,ఈగకు ఇలి లేదు. పాముకు బలి లేదు
26,26,ఈడు వస్తే గాడిద పిల్ల కూడా బాగుంటుంది
27,27,ఉడుత ఊపులకు మానులు వంగునా
28,28,ఉడుత కేలరా ఊరిలో పెత్తనం
29,29,ఉడుమును చంకలో పెట్టుకుని ఊళ్ళో ప్రవేశించినట్లు
30,30,ఉడుములలో తల పాములలోతోక
31,31,ఊరపిచ్చుకకు తాటికాయంత గూడు
32,32,ఊరపిచ్చుకమీద వాడి వజ్రాయుధమా
33,33,ఎలుక తోలు తెచ్చి ఎందాకా ఉతికినా నలుపు నలుపే కాని తెలుపు కాదు
34,34,ఎద్దు పుండు కాకికి ముద్దా
35,35,ఏదీకాని వేళ గేదె ఈనినట్లు
36,36,"ఎద్దు ఏమెరుగురా అటుకుల రుచి, గాడిద ఏమెరుగురా గంధపు వాసన"
37,37,ఎద్దు కొద్దీ సేద్యం సద్దికొద్దీ పయనం
38,38,ఎద్దు చేను మేసిపోతే గాడిదకు చెవులు కోసినట్లు
39,39,"ఎద్దును ఎక్కినవాడే లింగడు,గద్దనెక్కిన వాడే రంగడు"
40,40,ఎద్దులూ బండీ ఏకమైతే కొండమీదికి కొనిపోతాయి
41,41,ఎద్దువలే వుండి తేలు మంత్రం తెలియదా
42,42,ఎద్దువలె తిని మొద్దువలె నిద్రపోయినట్లు
43,43,ఎనుబోతు మీద వాన కురిసినట్లు
44,44,ఎల్లపాములూ తలలెత్తితే ఏలికపామూ తల ఎత్తిందట
45,45,ఎలుక ఏట్లో పోతేనేమి పులి బోనులో పోతేనేమి
46,46,ఎంగిలి చేత్తో కాకిని తోలనివాడు
47,47,ఎండ వాన కలసివస్తే కుక్కలకూ నక్కలకూ పెళ్ళి
48,48,ఎంత పెరిగినా గొర్రెకు బెత్తెడే తోక
49,49,ఏనుగు మింగిన వెలగపండు
50,50,ఏ పుట్టలో ఏ పామున్నదో
51,51,"కరవమంటే కప్పకు కోపం, విడవమంటే పాముకు కోపం"
52,52,కర్ర విరగకుండా పాము చావకుండా
53,53,కరి మింగిన వెలగపండు
54,54,కాకి పిల్ల కాకికి ముద్దు
55,55,కాకి గూటిలో కోకిలలాగా
56,56,కాకి ముక్కుకు దొండపండులాగా
57,57,కాకై కలకాలం ఉండేకంటే హంసై ఆరునెలలున్నా చాలు
58,58,కుక్క కాటుకి చెప్పు దెబ్బ
59,59,కుక్క గోవు కాదు కుందేలు పులీ కాదు
60,60,కుక్క తోక పట్టుకుని గోదావరి ఈదినట్లు
61,61,కుక్క తోక ఎప్పుడూ వంకరే
62,62,కుడితే తేలు కుట్టకుంటే కుమ్మరి పురుగు
63,63,కుర్ర కాకికి ఏమి తెలుసురా ఉండేలు దెబ్బ
64,64,కూచిపూడి కుక్క మొరిగినా సంగీతమే
65,65,కూసే గాడిద వచ్చి మేసే గాడిదను చెడగొట్టిందట
66,66,"కొంగకు ఒక చెరువు లేదు, కోమటికి ఒక ఊరు లేదు"
67,67,కొంగ జపం చేపల కోసమే
68,68,కొండను తవ్వి ఎలుకను పట్టినట్లు
69,69,కోతికి కొబ్బరికాయ దొరికినట్లు
70,70,కోతి పుండు బ్రహ్మరాక్షసి
71,71,"కొక్కిరాయి ,కొక్కిరాయి ఎందుకు పుట్టావంటే చక్కని వాళ్ళను ఎక్కిరించడానికి అన్నదట"
72,72,కోల ఆడితే కోతి ఆడుతుంది
